,Restaurante,Latitude,Longitude
0,LOONG XIN ASIAN CUISINE,40.893772302258,-73.858600064568
1,CHUANG CHEF,40.740617372997,-73.853549437122
2,THE GUTTER LES,40.717838214551,-73.989278724137
3,Bocca Restaurant,40.738245559754,-73.989398117999
4,LIBERTY COFFEE SHOP,40.679888043027,-73.85047814081
5,CROWN FRIED CHICKEN,40.69532038471,-73.92032810465
6,PIZZARTE,40.762532125352,-73.976961886145
7,16TH AVENUE GLATT,40.632549165511,-73.983917101547
8,MARTHA'S COUNTRY BAKERY,40.71494177619,-147.906095672189
9,THE JAGUAR RESTAURANT,40.793570060827,-73.95472696418
10,KINGS CARRIAGE HOUSE,40.775757979449,-73.828989583053
11,JIN FENG FISH BALL,40.757126099985,-74.177409849108
12,ANNADALE TERRACE,40.542342499736,-73.966349230214
13,FLIP,40.761887230821,-73.923416505935
14,NYC CLOUD KITCHENS,40.747195864681,-73.972529761483
15,SWEETGREEN,40.760645501134,-73.954841001094
16,FASO TASTE,40.820393131454,-73.964162846845
17,GLATT CONEY KOSHER CHINESE RESTAURANT,40.619372470482,-74.007200568792
18,FULGURANCES LAUNDROMAT,40.719153233456,-73.985282351134
19,BONCHON,40.747420846893,-73.992723732078
20,HO WON ON FORSYTH,40.718620743725,-73.893307430471
21,KOTHA GRILL AND KABAB RESTAURANT,40.748802206676,-73.94281946746
22,JACOB RESTAURANT,40.821611931358,-73.828375272215
23,SEA N SOUL,40.885779695433,-74.006136141753
24,FU MUN LOU,40.638764317462,-73.858662771526
25,BOSTON MARKET,40.823724026842,-73.99433760709
26,AMPLE HILLS CREAMERY,40.702959180239,-73.787952249096
27,BLAZE PIZZA,40.740215702678,-73.887510199163
28,UNO CAFE & BILLIARDS,40.747259601949,-73.916371482392
29,BLEND ASTORIA,40.764543323481,-73.927941988561
30,ELEGANT CLUB,40.860422376467,-73.768265383113
31,DUNKIN,40.656969580582,-73.861407612281
32,Mitad Del Mundo Bar Restaurant,40.749981295679,-74.010012218722
33,ONE HANOVER LLC,40.704567318653,-73.999570648073
34,SURYA INDIAN CUISINE,40.728353916885,-73.9955776782
35,PRINCE TEA HOUSE,40.603740949967,-74.00849591
36,GOOD GOOD TASTE,40.636524424596,-73.984057906834
37,ANA'S CAFE,40.751504887752,-73.991944239076
38,"CHICKEN, FRIES CONCESSION",40.750654836632,-73.97875679084
39,JING FONG,40.782566441625,-73.973033873155
40,LUCCIOLA,40.790376803855,-73.926717794565
41,TORNADO CREPES,40.865732654927,-73.899533053392
42,BRONX ALEHOUSE,40.884752278118,-73.993621416758
43,TROPIC DELI & GRILL,40.687061420038,-74.12789875206
44,SUBWAY,40.564775902628,-73.991986931566
45,GIA,40.725883348347,-73.991990548704
46,BOWERY ELECTRIC,40.725806495143,-73.984565412736
47,LOS TACOS NYC,40.726486438356,-73.856278091935
48,POLLO D. MARIA,40.743719665047,-73.977460537918
49,EPICUREAN CIRCLE INC,40.761085736827,-74.01632535268
50,PICASSO PIZZERIA,40.71024826789,-73.80948171066
51,JONGRO BBQ,40.764020412432,-74.12973013091
52,MICHELANGELO'S PIZZA,40.630942490854,-73.999783666642
53,BAR BRUNO,40.683367131006,-73.998199974185
54,MEE SUM CAFE,40.714860627928,-73.97694203767
55,CROSSBAR / UPPER 90,40.788483777016,-73.999112422609
56,URBAN TEA MANAGEMENT,40.729067553336,-73.953260610205
57,STOWAWAY,40.730290434143,-74.004248269348
58,"FRIENDSHIP BBQ, SHI SHANG",40.641443309963,-73.833280065247
59,CHINA STAR QUEENS CHINESE RESTAURANT,40.678629166728,-73.786496667092
60,BAYBRIDGE SZECHUAN GOURMET,40.788855737578,-73.974830932004
61,KYNDRYL,40.756015620437,-73.996604047366
62,CHELSEA HOTEL,40.74448484541,-73.97800579153
63,FLYWHEEL,40.575426435128,-73.991760679432
64,DUAL TOWNE PLACE SUITES/SPRINGHILL SUITES,40.746545916042,-73.869520035049
65,ORIGINAL NAPOLI'S PIZZA,40.673400685753,-73.984949471573
66,YOPPARAI RONIN,40.71933362663,-73.919307158614
67,REYES RESTAURANT,40.740163708835,-74.004064826548
68,LOCO COCO,40.70567382628,-73.839209654698
69,FENG'S GARDEN,40.719317969291,-73.998586413134
